subject_id,data_id,condition,headcase,measure,val
sid000499,fnl_f18,view,has_case,perc_spikes,0.028613352898019074
sid000499,fnl_f18,view,has_case,fd_median,0.057712900000000004
sid000576,fnl_f18,view,has_case,perc_spikes,0.061628760088041086
sid000576,fnl_f18,view,has_case,fd_median,0.08823596999999994
sid000576,fnl_f18,view,has_case,fd_median_filter,0.08440453000000002
sid000576,fnl_f18,recall,has_case,fd_median_filter,0.19469065
sid000576,fnl_f18,view,has_case,fd_mean,0.12247736781738802
sid000576,fnl_f18,recall,has_case,fd_mean,0.5153663103178571
sid000576,fnl_f18,recall,has_case,perc_spikes,0.675
sid000576,fnl_f18,view,has_case,fd_mean_filter,0.1019650174360047
sid000576,fnl_f18,recall,has_case,fd_mean_filter,0.18023541473626375
sid000576,fnl_f18,recall,has_case,fd_median,0.40179624999999997
sid000584,fnl_f18,view,has_case,fd_median,0.11083749999999992
sid000584,fnl_f18,view,has_case,perc_spikes,0.2509170946441673
sid000584,fnl_f18,view,has_case,fd_median_filter,0.08583339999999998
sid000584,fnl_f18,view,has_case,fd_mean,0.5315488500278799
sid000584,fnl_f18,recall,has_case,fd_median,0.702473
sid000584,fnl_f18,view,has_case,fd_mean_filter,0.10170376823702251
sid000584,fnl_f18,recall,has_case,fd_mean_filter,0.18607306992537312
sid000584,fnl_f18,recall,has_case,fd_mean,1.9523027813786769
sid000584,fnl_f18,recall,has_case,perc_spikes,0.7536764705882353
sid000584,fnl_f18,recall,has_case,fd_median_filter,0.181043
sid000703,fnl_f18,view,has_case,fd_mean,0.07938981194107998
sid000703,fnl_f18,view,has_case,fd_median,0.06758389999999999
sid000703,fnl_f18,view,has_case,perc_spikes,0.0022010271460014674
sid000703,fnl_f18,recall,has_case,fd_mean_filter,0.14301489235842452
sid000703,fnl_f18,view,has_case,fd_median_filter,0.06750749
sid000703,fnl_f18,recall,has_case,fd_median_filter,0.13490694999999994
sid000703,fnl_f18,recall,has_case,fd_mean,0.16410997231485935
sid000703,fnl_f18,view,has_case,fd_mean_filter,0.07868712534977353
sid000703,fnl_f18,recall,has_case,fd_median,0.14385650000000003
sid000703,fnl_f18,recall,has_case,perc_spikes,0.0823293172690763
sid000791,fnl_f18,recall,has_case,fd_mean_filter,0.19134280722111557
sid000791,fnl_f18,view,has_case,fd_mean_filter,0.13759789696262295
sid000791,fnl_f18,view,has_case,perc_spikes,0.10491562729273661
sid000791,fnl_f18,view,has_case,fd_median,0.13943869999999994
sid000791,fnl_f18,view,has_case,fd_mean,0.16789926942259709
sid000791,fnl_f18,recall,has_case,fd_mean,0.3428975081999998
sid000791,fnl_f18,recall,has_case,fd_median,0.2733704250000001
sid000791,fnl_f18,recall,has_case,fd_median_filter,0.19509143
sid000791,fnl_f18,recall,has_case,perc_spikes,0.4543478260869565
sid000791,fnl_f18,view,has_case,fd_median_filter,0.12881350000000003
sid000813,fnl_f18,view,has_case,fd_median,0.09248150000000001
sid000813,fnl_f18,recall,has_case,fd_median,0.23167025750000003
sid000813,fnl_f18,recall,has_case,fd_median_filter,0.18909637899999998
sid000813,fnl_f18,view,has_case,fd_median_filter,0.09158631
sid000813,fnl_f18,recall,has_case,fd_mean_filter,0.18308529720081138
sid000813,fnl_f18,view,has_case,fd_mean_filter,0.10244342082949254
sid000813,fnl_f18,view,has_case,perc_spikes,0.016874541452677916
sid000813,fnl_f18,recall,has_case,perc_spikes,0.2957142857142857
sid000813,fnl_f18,recall,has_case,fd_mean,0.24537719782785725
sid000813,fnl_f18,view,has_case,fd_mean,0.10656494990353631
sid000819,fnl_f18,view,has_case,perc_spikes,0.11518708730741012
sid000819,fnl_f18,recall,has_case,perc_spikes,0.6666666666666666
sid000819,fnl_f18,view,has_case,fd_mean_filter,0.0980864026606136
sid000819,fnl_f18,view,has_case,fd_median_filter,0.08674520149999998
sid000819,fnl_f18,recall,has_case,fd_median_filter,0.21598476
sid000819,fnl_f18,recall,has_case,fd_mean_filter,0.20719773576037734
sid000819,fnl_f18,recall,has_case,fd_median,0.393679465
sid000819,fnl_f18,recall,has_case,fd_mean,0.4445103245215934
sid000819,fnl_f18,view,has_case,fd_mean,0.1863547531101981
sid000819,fnl_f18,view,has_case,fd_median,0.0941349
sid000824,fnl_f18,view,has_case,fd_median_filter,0.08086350500000003
sid000824,fnl_f18,view,has_case,fd_median,0.08240121999999997
sid000824,fnl_f18,recall,has_case,fd_median,0.22312757500000002
sid000824,fnl_f18,view,has_case,fd_mean_filter,0.09277455447294207
sid000824,fnl_f18,recall,has_case,fd_mean_filter,0.16551282249626867
sid000824,fnl_f18,recall,has_case,fd_mean,0.2596041849375
sid000824,fnl_f18,view,has_case,fd_mean,0.11064507443800445
sid000824,fnl_f18,view,has_case,perc_spikes,0.03741746148202495
sid000824,fnl_f18,recall,has_case,perc_spikes,0.33
sid000824,fnl_f18,recall,has_case,fd_median_filter,0.16810109
sid000826,fnl_f18,view,has_case,perc_spikes,0.019075568598679385
sid000826,fnl_f18,recall,has_case,perc_spikes,0.56
sid000826,fnl_f18,recall,has_case,fd_median_filter,0.1858182
sid000826,fnl_f18,view,has_case,fd_mean,0.06611536799730007
sid000826,fnl_f18,view,has_case,fd_median_filter,0.042829449999999984
sid000826,fnl_f18,recall,has_case,fd_median,0.33511197000000004
sid000826,fnl_f18,view,has_case,fd_median,0.043251515
sid000826,fnl_f18,recall,has_case,fd_mean_filter,0.17427874399518717
sid000826,fnl_f18,view,has_case,fd_mean_filter,0.054981535928436784
sid000826,fnl_f18,recall,has_case,fd_mean,0.39461123956988226
sid000836,fnl_f18,recall,has_case,fd_mean,0.39095659074353883
sid000836,fnl_f18,view,has_case,fd_median_filter,0.13030082000000015
sid000836,fnl_f18,recall,has_case,fd_median,0.33984200000000003
sid000836,fnl_f18,view,has_case,fd_median,0.1465851999999998
sid000836,fnl_f18,recall,has_case,fd_median_filter,0.18984579
sid000836,fnl_f18,view,has_case,fd_mean,0.21667867312369785
sid000836,fnl_f18,recall,has_case,perc_spikes,0.6163021868787276
sid000836,fnl_f18,view,has_case,fd_mean_filter,0.13994330567892854
sid000836,fnl_f18,recall,has_case,fd_mean_filter,0.17934177941450777
sid000836,fnl_f18,view,has_case,perc_spikes,0.17828319882611884
sid000839,fnl_f18,view,no_case,fd_mean_filter,0.10444258779050282
sid000839,fnl_f18,recall,no_case,fd_mean_filter,0.17606705730501931
sid000839,fnl_f18,view,no_case,fd_median,0.0923151000000001
sid000839,fnl_f18,recall,no_case,fd_median,0.22772245000000002
sid000839,fnl_f18,recall,no_case,perc_spikes,0.28846153846153844
sid000839,fnl_f18,view,no_case,perc_spikes,0.08070432868672046
sid000839,fnl_f18,view,no_case,fd_median_filter,0.08713458500000001
sid000839,fnl_f18,view,no_case,fd_mean,0.13567229788554666
sid000839,fnl_f18,recall,no_case,fd_mean,0.2510431743928572
sid000839,fnl_f18,recall,no_case,fd_median_filter,0.17961206999999998
sid000841,fnl_f18,view,has_case,fd_median_filter,0.060106039999999965
sid000841,fnl_f18,recall,has_case,perc_spikes,0.5121580547112462
sid000841,fnl_f18,view,has_case,fd_mean,0.08418462125649288
sid000841,fnl_f18,recall,has_case,fd_mean,0.36490034796413384
sid000841,fnl_f18,recall,has_case,fd_mean_filter,0.19818852751090343
sid000841,fnl_f18,view,has_case,fd_median,0.06145038999999999
sid000841,fnl_f18,recall,has_case,fd_median,0.30632921999999996
sid000841,fnl_f18,view,has_case,fd_mean_filter,0.07598392774537245
sid000841,fnl_f18,view,has_case,perc_spikes,0.024944974321349962
sid000841,fnl_f18,recall,has_case,fd_median_filter,0.203433955
sid000861,fnl_f18,view,has_case,fd_median_filter,0.063883625
sid000861,fnl_f18,view,has_case,perc_spikes,0.013939838591342627
sid000861,fnl_f18,recall,has_case,perc_spikes,0.7018140589569161
sid000861,fnl_f18,recall,has_case,fd_mean,0.49815888643877565
sid000861,fnl_f18,view,has_case,fd_mean,0.07926920134066029
sid000861,fnl_f18,recall,has_case,fd_median_filter,0.20648539
sid000861,fnl_f18,view,has_case,fd_mean_filter,0.07418104100619047
sid000861,fnl_f18,view,has_case,fd_median,0.06465710000000001
sid000861,fnl_f18,recall,has_case,fd_median,0.431221185
sid000861,fnl_f18,recall,has_case,fd_mean_filter,0.2007716579591635
sid000862,fnl_f18,recall,has_case,fd_mean_filter,0.19163382640476193
sid000862,fnl_f18,view,has_case,fd_mean_filter,0.1021808029625766
sid000862,fnl_f18,view,has_case,fd_median_filter,0.08455359999999999
sid000862,fnl_f18,recall,has_case,fd_mean,0.6173078539366338
sid000862,fnl_f18,view,has_case,perc_spikes,0.06603081438004402
sid000862,fnl_f18,recall,has_case,fd_median_filter,0.19907537500000005
sid000862,fnl_f18,recall,has_case,fd_median,0.49499220000000005
sid000862,fnl_f18,view,has_case,fd_median,0.09035313
sid000862,fnl_f18,recall,has_case,perc_spikes,0.7504950495049505
sid000862,fnl_f18,view,has_case,fd_mean,0.13553063934927384
sid000864,fnl_f18,view,has_case,perc_spikes,0.0007336757153338225
sid000864,fnl_f18,recall,has_case,fd_median,0.152112915
sid000864,fnl_f18,recall,has_case,perc_spikes,0.09151047409040794
sid000864,fnl_f18,recall,has_case,fd_mean,0.17553326238478464
sid000864,fnl_f18,view,has_case,fd_median_filter,0.06797547500000002
sid000864,fnl_f18,recall,has_case,fd_median_filter,0.14152669
sid000864,fnl_f18,view,has_case,fd_median,0.06797915000000003
sid000864,fnl_f18,view,has_case,fd_mean_filter,0.0759789125814978
sid000864,fnl_f18,recall,has_case,fd_mean_filter,0.1512609385485437
sid000864,fnl_f18,view,has_case,fd_mean,0.07614709513279533
sid000868,fnl_f18,recall,has_case,fd_mean,1.1101519541644869
sid000868,fnl_f18,view,has_case,fd_mean_filter,0.10885440349808662
sid000868,fnl_f18,recall,has_case,fd_mean_filter,0.17298885898039218
sid000868,fnl_f18,view,has_case,fd_mean,0.31168062563550986
sid000868,fnl_f18,recall,has_case,perc_spikes,0.9046728971962616
sid000868,fnl_f18,view,has_case,perc_spikes,0.2714600146735143
sid000868,fnl_f18,view,has_case,fd_median,0.12727464999999993
sid000868,fnl_f18,recall,has_case,fd_median_filter,0.17297419999999994
sid000868,fnl_f18,view,has_case,fd_median_filter,0.08766635000000013
sid000868,fnl_f18,recall,has_case,fd_median,0.9347996
sid000872,fnl_f18,recall,has_case,fd_median,0.3138024475
sid000872,fnl_f18,view,has_case,fd_mean_filter,0.07234234753664688
sid000872,fnl_f18,recall,has_case,fd_median_filter,0.191451505
sid000872,fnl_f18,view,has_case,fd_median_filter,0.05597748750000001
sid000872,fnl_f18,view,has_case,fd_median,0.05653548999999999
